Link,MLS,Address,Status,Asking,Zillow
,1410774,"844 Muirwood Cir, Mount Pleasant, SC 29464",Price Changed,"$255,900 ","http://www.zillow.com/homes/844 Muirwood Cir, Mount Pleasant, SC 29464_rb/"
,1410899,"271 Old Mount Holly Rd, Goose Creek, SC 29445",Price Changed,"$259,900 ","http://www.zillow.com/homes/271 Old Mount Holly Rd, Goose Creek, SC 29445_rb/"
,1411053,"8958 N Red Maple Cir, Summerville, SC 29485",Price Changed,"$219,000 ","http://www.zillow.com/homes/8958 N Red Maple Cir, Summerville, SC 29485_rb/"
,1411097,"9285 Markleys Grove Blvd, Summerville, SC 29485",Price Changed,"$250,000 ","http://www.zillow.com/homes/9285 Markleys Grove Blvd, Summerville, SC 29485_rb/"
,1411107,"209 Partridge Cir, Summerville, SC 29483",Price Changed,"$185,500 ","http://www.zillow.com/homes/209 Partridge Cir, Summerville, SC 29483_rb/"
,1411227,"111 Harter Dr, Summerville, SC 29485",Price Changed,"$174,900 ","http://www.zillow.com/homes/111 Harter Dr, Summerville, SC 29485_rb/"
,1411248,"111 Graduate Ln, Ladson, SC 29456-5240",Price Changed,"$214,900 ","http://www.zillow.com/homes/111 Graduate Ln, Ladson, SC 29456-5240_rb/"
,1411457,"814 Castle Ave, Charleston, SC 29407-5806",Price Changed,"$242,000 ","http://www.zillow.com/homes/814 Castle Ave, Charleston, SC 29407-5806_rb/"
,1411458,"1726 Waterbrook Dr, Charleston, SC 29414",Price Changed,"$255,000 ","http://www.zillow.com/homes/1726 Waterbrook Dr, Charleston, SC 29414_rb/"
,1411610,"103 Middleton Dr, Goose Creek, SC 29445",Price Changed,"$214,500 ","http://www.zillow.com/homes/103 Middleton Dr, Goose Creek, SC 29445_rb/"
,1411791,"5120 Morrow Ln, Summerville, SC 29485",Price Changed,"$189,900 ","http://www.zillow.com/homes/5120 Morrow Ln, Summerville, SC 29485_rb/"
,1411885,"467 Green Park Ln, Goose Creek, SC 29445",Price Changed,"$184,500 ","http://www.zillow.com/homes/467 Green Park Ln, Goose Creek, SC 29445_rb/"
,1411895,"58 Wolk Dr, Charleston, SC 29414-7357",Price Changed,"$230,000 ","http://www.zillow.com/homes/58 Wolk Dr, Charleston, SC 29414-7357_rb/"
,1411973,"1856 Saint Julian Dr, Charleston, SC 29407",Price Changed,"$219,000 ","http://www.zillow.com/homes/1856 Saint Julian Dr, Charleston, SC 29407_rb/"
,1412046,"125 Sea Cotton Cir, Charleston, SC 29412",Price Changed,"$255,000 ","http://www.zillow.com/homes/125 Sea Cotton Cir, Charleston, SC 29412_rb/"
,1412126,"1323 Stone Post Rd, Charleston, SC 29412-9427",Price Changed,"$240,000 ","http://www.zillow.com/homes/1323 Stone Post Rd, Charleston, SC 29412-9427_rb/"
,1412199,"3030 Kinswood Ln, Ladson, SC 29456",Price Changed,"$175,000 ","http://www.zillow.com/homes/3030 Kinswood Ln, Ladson, SC 29456_rb/"
,1412220,"502 Mountain Laurel Cir, Goose Creek, SC 29445-7356",Price Changed,"$232,500 ","http://www.zillow.com/homes/502 Mountain Laurel Cir, Goose Creek, SC 29445-7356_rb/"
,1412447,"2779 August Rd, Johns Island, SC 29455-3923",Price Changed,"$229,000 ","http://www.zillow.com/homes/2779 August Rd, Johns Island, SC 29455-3923_rb/"
,1412858,"116 Durham Dr, Goose Creek, SC 29445",Price Changed,"$209,900 ","http://www.zillow.com/homes/116 Durham Dr, Goose Creek, SC 29445_rb/"
,1412884,"3526 Agape Ct, Ladson, SC 29456",Price Changed,"$239,900 ","http://www.zillow.com/homes/3526 Agape Ct, Ladson, SC 29456_rb/"
,1412978,"302 Oglethorpe Cir, Moncks Corner, SC 29461",Price Changed,"$205,769 ","http://www.zillow.com/homes/302 Oglethorpe Cir, Moncks Corner, SC 29461_rb/"
,1413045,"215 Breckingridge Dr, Ladson, SC 29456-3952",Price Changed,"$207,800 ","http://www.zillow.com/homes/215 Breckingridge Dr, Ladson, SC 29456-3952_rb/"
,1413052,"357 Chemistry Cir, Ladson, SC 29456",Price Changed,"$209,900 ","http://www.zillow.com/homes/357 Chemistry Cir, Ladson, SC 29456_rb/"
,1413165,"306 Nuttall Dr, Summerville, SC 29483",New,"$249,900 ","http://www.zillow.com/homes/306 Nuttall Dr, Summerville, SC 29483_rb/"
,1413188,"1133 Calm Water Ct, Mount Pleasant, SC 29464",New,"$251,900 ","http://www.zillow.com/homes/1133 Calm Water Ct, Mount Pleasant, SC 29464_rb/"
,1413193,"1273 Chicorie Way, Charleston, SC 29412",Back on Market,"$230,000 ","http://www.zillow.com/homes/1273 Chicorie Way, Charleston, SC 29412_rb/"
,1413276,"102 Speer St, Goose Creek, SC 29445",Price Changed,"$178,000 ","http://www.zillow.com/homes/102 Speer St, Goose Creek, SC 29445_rb/"
,1413307,"173 Woodbrook Way, Moncks Corner, SC 29461",Price Changed,"$225,000 ","http://www.zillow.com/homes/173 Woodbrook Way, Moncks Corner, SC 29461_rb/"
,1413396,"241 Cornet St, Moncks Corner, SC 29461-8031",Price Changed,"$205,000 ","http://www.zillow.com/homes/241 Cornet St, Moncks Corner, SC 29461-8031_rb/"
,1413693,"122 Waddington Trce, Goose Creek, SC 29445",Photo Added,"$250,000 ","http://www.zillow.com/homes/122 Waddington Trce, Goose Creek, SC 29445_rb/"
,1413838,"9310 Ayscough Rd, Summerville, SC 29485-8677",Price Changed,"$168,000 ","http://www.zillow.com/homes/9310 Ayscough Rd, Summerville, SC 29485-8677_rb/"
,1413850,"218 Tall Pines Rd, Ladson, SC 29456-3196",Photo Added,"$169,900 ","http://www.zillow.com/homes/218 Tall Pines Rd, Ladson, SC 29456-3196_rb/"
,1413857,"104 Cypress View Rd, Goose Creek, SC 29445",Price Changed,"$248,500 ","http://www.zillow.com/homes/104 Cypress View Rd, Goose Creek, SC 29445_rb/"
,1413927,"36 S Basilica Ave, Hanahan, SC 29410-8678",New,"$239,900 ","http://www.zillow.com/homes/36 S Basilica Ave, Hanahan, SC 29410-8678_rb/"
,1413982,"125 Bristol St, Moncks Corner, SC 29461",New,"$225,000 ","http://www.zillow.com/homes/125 Bristol St, Moncks Corner, SC 29461_rb/"
